Pixel,Wavenumber,Processed,Raw,Dark
711,1195.50,793.80,1345.60,551.80
712,1197.25,803.00,1379.40,576.40
713,1199.00,818.10,1400.00,581.90
714,1200.76,818.30,1377.80,559.50
715,1202.51,815.90,1367.10,551.20
716,1204.26,850.00,1419.80,569.80
717,1206.01,875.70,1446.90,571.20
718,1207.76,875.20,1426.50,551.30
719,1209.51,870.50,1435.10,564.60
720,1211.25,895.20,1459.30,564.10
721,1213.00,910.50,1458.10,547.60
722,1214.74,941.20,1492.60,551.40
723,1216.48,966.80,1524.90,558.10
724,1218.23,975.90,1530.20,554.30
725,1219.97,994.50,1549.40,554.90
726,1221.71,1018.20,1573.90,555.70
727,1223.45,1053.80,1607.90,554.10
728,1225.18,1083.80,1640.90,557.10
729,1226.92,1122.20,1688.20,566.00
730,1228.66,1153.90,1712.90,559.00
731,1230.39,1177.90,2671.50,1493.60
732,1232.13,1205.30,2703.80,1498.50
733,1233.86,1227.10,1778.80,551.70
734,1235.59,1265.70,1818.40,552.70
735,1237.32,1310.60,1870.50,559.90
736,1239.05,1326.30,1882.50,556.20
737,1240.78,1340.40,1890.40,550.00
738,1242.51,1399.00,1947.80,548.80
739,1244.23,1470.90,2019.30,548.40
740,1245.96,1493.00,2149.20,656.20
741,1247.68,1522.30,2181.80,659.50
742,1249.40,1542.80,2097.40,554.60
743,1251.13,1577.10,2128.50,551.40
744,1252.85,1664.40,2218.20,553.80
745,1254.57,1727.90,2291.50,563.60
746,1256.29,1803.20,2359.00,555.80
747,1258.00,1931.30,2472.10,540.80
748,1259.72,2021.60,2566.30,544.70
749,1261.44,2139.40,2691.40,552.00
750,1263.15,2319.90,2870.80,550.90
751,1264.86,2511.50,3197.70,686.20
752,1266.58,2725.90,3416.30,690.40
753,1268.29,2921.00,3483.50,562.50
754,1270.00,3129.10,3688.10,559.00
755,1271.71,3320.50,3875.30,554.80
756,1273.42,3460.00,4019.00,559.00
757,1275.12,3514.30,4083.10,568.80
758,1276.83,3509.80,4077.10,567.30
759,1278.54,3479.50,4036.50,557.00
760,1280.24,3337.70,3892.10,554.40
761,1281.94,3172.90,3719.80,546.90
762,1283.65,3016.60,3564.50,547.90
763,1285.35,2824.50,3379.90,555.40
764,1287.05,2627.60,3182.60,555.00
765,1288.75,2452.90,3004.40,551.50
766,1290.44,2294.10,2841.00,546.90
767,1292.14,2160.00,2701.70,541.70
768,1293.84,2075.30,2619.30,544.00
769,1295.53,1988.30,2536.00,547.70
770,1297.23,1901.90,2447.20,545.30
771,1298.92,1847.10,2391.00,543.90
772,1300.61,1775.80,2326.80,551.00
773,1302.30,1708.40,2259.10,550.70
774,1303.99,1687.40,2307.10,619.70
775,1305.68,1688.90,2311.50,622.60
776,1307.37,1672.40,2225.80,553.40
777,1309.06,1616.40,2178.90,562.50
778,1310.74,1589.70,2167.90,578.20
779,1312.43,1577.90,2143.90,566.00
780,1314.11,1581.20,2127.10,545.90
781,1315.80,1576.80,2124.90,548.10
782,1317.48,1558.20,2104.60,546.40
